#Authors: Morton T.D., Bryson S.T., Coughlin J.L., Rowe J.F., Ravichandran G.,
#Table: False Positive Probability Results
#================================================================================
#Byte-by-byte Description of file: apj523473t6_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label   Explanations
#--------------------------------------------------------------------------------
#   1-  9 A9     ---     KOI     Kepler Object of Interest identifier
# 132-133 A2     ---     Disp.   Exoplanet Archive disposition code (8)
# 135-141 E7.1   ---     FPP     ? False positive probability (9)
# 143-149 E7.1   ---   e_FPP     ? Uncertainty in FPP (10)
#--------------------------------------------------------------------------------
#    FP = false positive;
#    CA = candidate;
#--------------------------------------------------------------------------------
00198.01 CA 8.8e-01 4.9e-03
00199.01 CA 0.0e+00 0.0e+00
00199.02 FP 1.0e+00 0.0e+00
00200.01 PL 2.7e-02 1.1e-02
00201.01 CA 0.0e+00 0.0e+00
00202.01 PL 7.6e-04 3.0e-04
00203.01 PL 0.0e+00 0.0e+00
00204.01 PL 8.8e-06 4.7e-06
00205.01 CA 2.6e-03 7.9e-04
00206.01 PL 0.0e+00 0.0e+00
00208.01 CA 0.0e+00 0.0e+00
00209.01 PL 0.0e+00 0.0e+00
00209.02 PL 5.8e-05 6.5e-05
00210.01 CA 8.3e-01 7.3e-03
00211.01 CA 2.3e-02 8.4e-03
00212.01 CA 0.0e+00 0.0e+00
00213.01 FP 1.0e+00 0.0e+00
00214.01 PL 4.1e-01 2.0e-02
00215.01 CA 1.0e+00 0.0e+00
00216.01 PL 1.5e-04 7.3e-05
00216.02 PL 4.3e-01 6.0e-03
00217.01 PL 0.0e+00 0.0e+00
00218.01 FP 3.7e-05 1.9e-05
00219.01 CA 5.2e-06 5.2e-06
00220.01 PL 0.0e+00 0.0e+00
00220.02 PL 1.3e-04 1.2e-04
00221.01 CA 0.0e+00 0.0e+00
00221.02 CA 6.1e-02 1.1e-02
00222.01 PL 2.6e-05 4.3e-05
00222.02 PL 4.4e-05 1.0e-05
00223.01 PL 1.5e-06 0.0e+00
00223.02 PL 1.6e-03 2.6e-04
00224.01 FP 1.0e+00 8.8e-04
00225.01 CA 9.6e-01 8.8e-03
00226.01 CA 3.2e-05 9.4e-06
00227.01 CA 1.0e+00 0.0e+00
00229.01 CA 8.8e-04 9.9e-04
00230.01 FP 1.0e+00 0.0e+00
00231.01 FP 1.0e+00 3.2e-04
00232.01 PL 0.0e+00 0.0e+00
00232.02 PL 0.0e+00 0.0e+00
00232.03 PL 4.0e-04 1.9e-04
00232.04 PL 2.0e-03 3.3e-04
00232.05 PL 3.8e-04 1.5e-04
00233.01 FP 6.1e-01 5.0e-01
00234.01 CA 1.8e-05 7.5e-06
00235.01 CA 2.9e-04 3.4e-04
00236.01 FP 1.0e+00 0.0e+00
00237.01 CA 2.0e-06 0.0e+00
00238.01 PL 2.2e-05 7.1e-06
00238.02 PL 1.2e-03 3.4e-04
00239.01 CA 5.4e-05 2.2e-05
00239.02 CA 1.6e-02 2.5e-04
00240.01 CA 0.0e+00 0.0e+00
00241.01 PL 3.4e-05 1.2e-05
00241.02 PL 4.1e-04 3.7e-05
00241.03 PL 1.0e-03 2.9e-04
00242.01 CA 0.0e+00 0.0e+00
00244.01 PL 1.8e-01 1.9e-02
00244.02 PL 0.0e+00 0.0e+00
00245.01 PL 0.0e+00 0.0e+00
00245.02 PL 3.9e-04 1.1e-04
00246.01 PL 0.0e+00 0.0e+00
00246.02 PL 2.3e-03 7.9e-04
00247.01 CA 8.0e-01 9.2e-02
00248.01 PL 2.3e-01 3.3e-01
00248.02 PL 1.0e+00 9.5e-04
00248.03 PL 1.0e+00 0.0e+00
00248.04 PL 1.7e-01 3.5e-03
00249.01 CA 1.1e-05 3.4e-06
00250.01 PL 4.1e-04 2.0e-04
00250.02 PL 1.1e-03 1.8e-04
00250.03 PL 4.1e-04 2.8e-05
00250.04 PL 9.2e-05 1.6e-05
00251.01 PL 0.0e+00 0.0e+00
00251.02 PL 5.2e-01 7.1e-03
00252.01 FP 4.3e-05 9.7e-06
00253.01 CA 3.2e-04 8.3e-05
00253.02 CA 3.3e-03 2.3e-04
00254.01 PL 2.2e-05 1.5e-05
00255.01 CA 4.4e-05 2.3e-05
00255.02 CA 4.3e-01 7.3e-03
00257.01 CA 7.3e-03 2.3e-03
00258.01 FP 1.0e+00 0.0e+00
00259.01 FP 9.7e-01 3.4e-03
00260.01 PL 1.6e-05 3.5e-05
00260.02 PL 0.0e+00 0.0e+00
00260.03 PL 1.5e-02 4.7e-03
00261.01 PL 1.0e+00 0.0e+00
00262.01 PL 1.0e+00 0.0e+00
00262.02 PL 6.4e-01 6.5e-02
00263.01 FP 3.2e-05 2.3e-05
00264.01 FP 1.4e-01 4.5e-02
00265.01 CA 1.4e-05 6.7e-06
00266.01 CA 9.5e-06 4.3e-06
00266.02 CA 7.8e-02 5.8e-03
00268.01 CA 1.5e-02 3.4e-03
00269.01 CA 2.3e-02 1.3e-02
00270.01 PL 1.4e-02 5.9e-03
00270.02 PL 1.2e-05 3.7e-06
00271.01 PL 1.1e-04 6.9e-05
00271.02 PL 3.1e-05 2.2e-05
00271.03 PL 1.0e+00 0.0e+00
00272.01 FP 2.4e-01 3.0e-02
00273.01 CA 7.6e-02 1.6e-02
00274.01 PL 1.0e+00 0.0e+00
00274.02 PL 1.6e-01 3.5e-02
00275.01 PL 0.0e+00 0.0e+00
00275.02 PL 4.2e-04 1.3e-05
00276.01 CA 4.2e-03 1.7e-03
00277.01 PL 1.0e+00 0.0e+00
00277.02 PL 1.0e+00 0.0e+00
00279.01 PL 2.0e-03 1.9e-03
00279.02 PL 0.0e+00 0.0e+00
00280.01 CA 1.7e-02 3.1e-03
00281.01 CA 1.1e-06 1.3e-06
00282.01 PL 2.4e-06 1.0e-06
00282.02 PL 2.6e-04 9.4e-05
00282.03 PL 9.5e-01 2.7e-03
00283.01 PL 7.2e-03 1.3e-03
00283.02 PL 6.5e-03 1.0e-03
00283.03 CA 5.4e-01 9.7e-03
00284.01 PL 7.2e-04 4.5e-04
00284.02 PL 2.8e-06 0.0e+00
00284.03 PL 1.8e-02 1.0e-03
00284.04 CA 3.1e-03 2.5e-04
00285.01 PL 3.5e-06 1.7e-06
00285.02 PL 1.3e-06 0.0e+00
00285.03 PL 3.8e-05 3.8e-05
00286.01 FP 1.0e+00 0.0e+00
00287.01 FP 8.9e-01 6.4e-03
00288.01 FP 0.0e+00 0.0e+00
00289.01 CA 1.2e-01 1.1e-02
00289.02 CA 1.5e-03 1.2e-04
00290.01 FP 3.7e-01 3.6e-02
00291.01 PL 6.0e-05 4.6e-05
00291.02 PL 9.5e-02 5.9e-03
00292.01 PL 1.6e-04 5.7e-05
00293.01 FP 1.7e-02 4.4e-03
00294.01 CA 2.6e-03 1.0e-03
00295.01 PL 0.0e+00 0.0e+00
00295.02 PL 7.1e-04 1.2e-04
00296.01 CA 8.3e-05 5.7e-05
00297.01 CA 6.5e-06 5.5e-06
00298.01 CA 1.5e-04 2.9e-05
00298.02 CA 1.7e-02 9.6e-04
00299.01 PL 0.0e+00 0.0e+00
00300.01 FP 1.0e+00 0.0e+00
00301.01 PL 1.2e-06 0.0e+00
00301.02 PL 1.3e-03 2.8e-04
00302.01 CA 0.0e+00 0.0e+00
00303.01 CA 1.1e-03 5.1e-04
00304.01 CA 1.2e-03 3.5e-04
00304.02 CA 0.0e+00 0.0e+00
00305.01 PL 3.5e-06 1.4e-06
00306.01 CA 6.1e-04 1.2e-04
00307.01 CA 9.8e-04 1.8e-04
00307.02 CA 2.3e-05 5.0e-06
00308.01 CA 2.9e-01 2.9e-01
00309.01 FP 9.9e-01 1.3e-03
00312.01 PL 1.2e-02 4.3e-03
00312.02 PL 1.3e-03 4.4e-04
00313.01 PL 1.9e-05 6.5e-06
00313.02 PL 1.6e-06 0.0e+00
00314.01 PL 1.2e-04 4.3e-05
00314.02 PL 8.4e-01 1.0e-01
00314.03 PL 1.0e+00 0.0e+00
00315.01 CA 1.0e+00 0.0e+00
00316.01 PL 9.9e-01 1.8e-02
00316.02 PL 1.0e+00 4.2e-04
00316.03 CA 1.0e+00 0.0e+00
00317.01 CA 9.6e-04 1.3e-04
00318.01 CA 0.0e+00 0.0e+00
00319.01 CA 4.1e-01 2.4e-02
00320.01 FP 1.0e+00 0.0e+00
00321.01 PL 3.4e-02 2.0e-02
00321.02 PL 8.0e-06 2.8e-06
00322.01 FP 0.0e+00 0.0e+00
00323.01 CA 6.8e-06 4.8e-06
00324.01 FP 1.0e+00 0.0e+00
00325.01 FP 1.0e+00 4.2e-04
00326.01 CA 2.7e-04 3.5e-05
00326.02 CA 9.8e-03 3.0e-04
00327.01 PL 0.0e+00 0.0e+00
00327.02 PL 5.7e-04 1.4e-05
00328.01 FP 1.0e+00 4.8e-04
00329.01 FP 1.0e+00 0.0e+00
00330.01 CA 0.0e+00 0.0e+00
00330.02 CA 2.1e-04 1.8e-05
00331.01 CA 3.4e-05 1.6e-05
00332.01 CA 2.2e-05 8.3e-06
00332.02 CA 2.1e-02 3.1e-03
00333.01 CA 0.0e+00 0.0e+00
00334.01 FP 1.0e+00 0.0e+00
00335.01 FP 5.3e-05 3.8e-05
00336.01 FP 1.0e+00 3.2e-04
00337.01 CA 6.4e-06 0.0e+00
00338.01 PL 1.5e-04 2.5e-06
00338.02 PL 9.0e-01 3.3e-03
00339.01 CA 5.6e-06 4.8e-06
00339.02 CA 7.1e-04 1.5e-04
00339.03 CA 1.6e-02 5.6e-03
00340.01 FP 1.3e-01 9.4e-02
00341.01 PL 3.7e-01 2.6e-01
00341.02 PL 9.3e-01 2.7e-02
00343.01 PL 1.6e-05 1.8e-05
00343.02 PL 1.7e-04 1.1e-04
00343.03 PL 2.5e-04 2.4e-05
00344.01 CA 1.1e-06 0.0e+00
00345.01 CA 4.3e-05 1.1e-05
00346.01 CA 1.2e-03 3.2e-04
00347.01 FP 9.9e-01 4.8e-04
00348.01 CA 3.1e-03 6.6e-04
00349.01 CA 1.9e-02 1.7e-03
00350.01 CA 8.4e-01 4.8e-02
00351.01 PL 2.8e-02 4.6e-03
00352.01 PL 1.8e-02 2.4e-03
00352.02 PL 8.5e-01 7.6e-03
00353.01 CA 4.1e-01 2.6e-02
00353.02 CA 3.1e-02 6.9e-03
00354.01 CA 5.3e-06 3.3e-06
00354.02 CA 9.7e-01 7.9e-04
00355.01 CA 0.0e+00 0.0e+00
00356.01 CA 1.0e-06 0.0e+00
00358.01 FP 9.3e-01 1.8e-02
00359.01 FP 9.9e-01 1.0e-02
00360.01 FP 1.0e+00 0.0e+00
00361.01 CA 1.0e-06 0.0e+00
00362.01 FP 3.4e-05 1.9e-05
00363.01 FP 1.0e+00 0.0e+00
00365.01 CA 1.1e-06 1.1e-06
00366.01 CA 4.5e-01 4.7e-02
00367.01 CA 3.0e-01 2.5e-02
00368.01 FP 2.4e-04 1.7e-04
00369.01 PL 1.3e-02 2.9e-03
00369.02 PL 7.4e-03 1.4e-03
00370.01 PL 5.6e-05 1.6e-05
00370.02 PL 1.7e-01 3.8e-02
00371.01 CA 9.8e-01 2.7e-03
00372.01 CA 1.1e-06 0.0e+00
00373.01 CA 1.0e+00 0.0e+00
00374.01 CA 0.0e+00 0.0e+00
00376.01 FP 1.0e+00 4.8e-04
00376.02 FP 9.4e-01 1.6e-02
00377.01 PL 9.6e-01 4.6e-02
00378.01 FP 1.0e+00 0.0e+00
00379.01 FP 3.1e-04 5.3e-05
